Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
02/12/2017,308,1,-2.2000000000000002,86,0.59999999999999998,990,-4.2000000000000002,0,0,0,Winter,No Holiday,Yes
02/12/2017,262,2,-2.8999999999999999,86,1.5,1256,-4.9000000000000004,0,0,0,Winter,No Holiday,Yes
02/12/2017,167,3,-3.5,81,2.2000000000000002,1221,-6.2000000000000002,0,0,0,Winter,No Holiday,Yes
02/12/2017,89,4,-3.7999999999999998,79,2,1167,-6.9000000000000004,0,0,0,Winter,No Holiday,Yes
02/12/2017,79,5,-4,79,1.5,1202,-7.0999999999999996,0,0,0,Winter,No Holiday,Yes
02/12/2017,70,6,-4.2999999999999998,82,2.1000000000000001,1178,-6.9000000000000004,0,0,0,Winter,No Holiday,Yes
02/12/2017,146,7,-4.4000000000000004,81,2.5,1276,-7.0999999999999996,0,0,0,Winter,No Holiday,Yes
02/12/2017,219,8,-4.2000000000000002,79,2.1000000000000001,1436,-7.2999999999999998,0.01,0,0,Winter,No Holiday,Yes
02/12/2017,328,9,-2.8999999999999999,68,1.6000000000000001,1487,-7.9000000000000004,0.29999999999999999,0,0,Winter,No Holiday,Yes
02/12/2017,334,10,-0.40000000000000002,57,1.6000000000000001,1309,-7.7999999999999998,0.80000000000000004,0,0,Winter,No Holiday,Yes
02/12/2017,388,11,1.8999999999999999,49,1.8,1406,-7.7000000000000002,1,0,0,Winter,No Holiday,Yes
02/12/2017,479,12,4.2999999999999998,41,1.3,1666,-7.7999999999999998,1.0900000000000001,0,0,Winter,No Holiday,Yes
02/12/2017,606,13,6,36,1.8,1780,-7.9000000000000004,1.1200000000000001,0,0,Winter,No Holiday,Yes
02/12/2017,611,14,7.2999999999999998,35,1.3,1955,-7.0999999999999996,0.98999999999999999,0,0,Winter,No Holiday,Yes
02/12/2017,589,15,7.5999999999999996,41,2.2999999999999998,1953,-4.7999999999999998,0.73999999999999999,0,0,Winter,No Holiday,Yes
02/12/2017,618,16,6.4000000000000004,48,2.6000000000000001,1945,-3.7999999999999998,0.22,0,0,Winter,No Holiday,Yes
02/12/2017,572,17,6,51,2.5,1891,-3.2999999999999998,0.059999999999999998,0,0,Winter,No Holiday,Yes
02/12/2017,489,18,5.5,53,1.5,1697,-3.2999999999999998,0,0,0,Winter,No Holiday,Yes
02/12/2017,385,19,5,52,2.2999999999999998,1666,-4,0,0,0,Winter,No Holiday,Yes
02/12/2017,359,20,4.5999999999999996,51,1.2,1585,-4.5999999999999996,0,0,0,Winter,No Holiday,Yes
02/12/2017,377,21,4.0999999999999996,55,1.2,1448,-4.0999999999999996,0,0,0,Winter,No Holiday,Yes
02/12/2017,354,22,3.5,54,1.5,1446,-4.9000000000000004,0,0,0,Winter,No Holiday,Yes
02/12/2017,366,23,4,56,1,1352,-4,0,0,0,Winter,No Holiday,Yes
03/12/2017,342,0,4,58,1.3999999999999999,1296,-3.5,0,0,0,Winter,No Holiday,Yes
03/12/2017,227,1,3.8999999999999999,69,1.7,485,-1.2,0,0,0,Winter,No Holiday,Yes
03/12/2017,228,2,3.2999999999999998,79,1.3999999999999999,830,0,0,0,0,Winter,No Holiday,Yes
03/12/2017,117,3,3.3999999999999999,71,1.6000000000000001,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes
03/12/2017,76,4,3.5,73,1,1060,-0.80000000000000004,0,0,0,Winter,No Holiday,Yes
03/12/2017,32,5,3.8999999999999999,75,1.8999999999999999,914,-0.10000000000000001,0,0,0,Winter,No Holiday,Yes
03/12/2017,13,6,3.3999999999999999,86,2.5,278,1.2,0,1,0,Winter,No Holiday,Yes
03/12/2017,22,7,3.1000000000000001,91,1.2,129,1.7,0,0,0,Winter,No Holiday,Yes
03/12/2017,85,8,3.2000000000000002,92,1.8,244,2,0,0,0,Winter,No Holiday,Yes
03/12/2017,152,9,3.5,91,1.8,231,2.1000000000000001,0.02,2.5,0,Winter,No Holiday,Yes
03/12/2017,200,10,4.4000000000000004,89,2.2000000000000002,257,2.7000000000000002,0.23999999999999999,0,0,Winter,No Holiday,Yes
03/12/2017,273,11,5.0999999999999996,87,1.3999999999999999,321,3.1000000000000001,0.25,0,0,Winter,No Holiday,Yes
03/12/2017,333,12,5.7999999999999998,85,1.7,349,3.3999999999999999,0.42999999999999999,0,0,Winter,No Holiday,Yes
03/12/2017,495,13,6.7999999999999998,81,1.8999999999999999,390,3.7000000000000002,0.59999999999999998,0,0,Winter,No Holiday,Yes
03/12/2017,563,14,7.5999999999999996,76,1.2,422,3.6000000000000001,0.68999999999999995,0,0,Winter,No Holiday,Yes
03/12/2017,621,15,8,73,1.6000000000000001,433,3.3999999999999999,0.53000000000000003,0,0,Winter,No Holiday,Yes
03/12/2017,598,16,7.5999999999999996,77,1.6000000000000001,399,3.7999999999999998,0.20000000000000001,0,0,Winter,No Holiday,Yes
03/12/2017,545,17,6.7000000000000002,82,1.5,358,3.7999999999999998,0.050000000000000003,0,0,Winter,No Holiday,Yes
03/12/2017,443,18,6,84,1.8999999999999999,327,3.3999999999999999,0,0,0,Winter,No Holiday,Yes
03/12/2017,422,19,5.7000000000000002,85,1.7,309,3.2999999999999998,0,0,0,Winter,No Holiday,Yes
03/12/2017,397,20,5.2000000000000002,87,1.3999999999999999,253,3.2000000000000002,0,0,0,Winter,No Holiday,Yes
03/12/2017,385,21,4.7000000000000002,87,1.2,247,2.7000000000000002,0,0,0,Winter,No Holiday,Yes
03/12/2017,350,22,4.2999999999999998,89,1.8,201,2.6000000000000001,0,0,0,Winter,No Holiday,Yes
03/12/2017,303,23,3.8999999999999999,90,1.3,194,2.3999999999999999,0,0,0,Winter,No Holiday,Yes
04/12/2017,285,0,4.2000000000000002,88,0.59999999999999998,216,2.2999999999999998,0,0,0,Winter,No Holiday,Yes
04/12/2017,186,1,4.2999999999999998,87,0.5,221,2.2999999999999998,0,0,0,Winter,No Holiday,Yes
04/12/2017,112,2,4.4000000000000004,87,1.8,207,2.3999999999999999,0,0,0,Winter,No Holiday,Yes
04/12/2017,65,3,3.6000000000000001,85,2.2999999999999998,206,1.3,0,0,0,Winter,No Holiday,Yes
04/12/2017,41,4,2.7999999999999998,89,1.5,130,1.1000000000000001,0,0,0,Winter,No Holiday,Yes
04/12/2017,82,5,2,83,2.7000000000000002,253,-0.5,0,0,0,Winter,No Holiday,Yes
04/12/2017,200,6,1.2,76,3.7000000000000002,371,-2.5,0,0.10000000000000001,0,Winter,No Holiday,Yes
04/12/2017,498,7,0.20000000000000001,68,3.3999999999999999,702,-5,0,0,0,Winter,No Holiday,Yes
04/12/2017,937,8,-0.80000000000000004,69,3.5,954,-5.7000000000000002,0.01,0,0,Winter,No Holiday,Yes
04/12/2017,509,9,-1.5,47,4.2000000000000002,1888,-11.300000000000001,0.22,0,0,Winter,No Holiday,Yes
04/12/2017,311,10,-1.1000000000000001,40,4.5,2000,-13,0.64000000000000001,0,0,Winter,No Holiday,Yes
04/12/2017,379,11,-0.5,41,4.0999999999999996,1799,-12.1,0.93999999999999995,0,0,Winter,No Holiday,Yes
04/12/2017,393,12,-0.29999999999999999,38,4.7999999999999998,1823,-12.9,1.1100000000000001,0,0,Winter,No Holiday,Yes
04/12/2017,391,13,0,30,5.4000000000000004,1938,-15.5,1.1699999999999999,0,0,Winter,No Holiday,Yes
04/12/2017,338,14,0.10000000000000001,27,4.5,2000,-16.699999999999999,1.0900000000000001,0,0,Winter,No Holiday,Yes
04/12/2017,341,15,-0.10000000000000001,25,5.7999999999999998,2000,-17.800000000000001,0.88,0,0,Winter,No Holiday,Yes
04/12/2017,375,16,-0.20000000000000001,23,4.7000000000000002,2000,-18.800000000000001,0.55000000000000004,0,0,Winter,No Holiday,Yes
04/12/2017,515,17,-1.3,26,5.2999999999999998,2000,-18.300000000000001,0.17999999999999999,0,0,Winter,No Holiday,Yes
04/12/2017,807,18,-2.1000000000000001,29,3.8999999999999999,2000,-17.699999999999999,0,0,0,Winter,No Holiday,Yes
04/12/2017,568,19,-2.8999999999999999,32,3.2000000000000002,2000,-17.300000000000001,0,0,0,Winter,No Holiday,Yes
04/12/2017,398,20,-3.6000000000000001,38,3,2000,-15.800000000000001,0,0,0,Winter,No Holiday,Yes
04/12/2017,397,21,-4.5999999999999996,43,4.5,2000,-15.300000000000001,0,0,0,Winter,No Holiday,Yes
04/12/2017,353,22,-5.2999999999999998,45,2.5,2000,-15.300000000000001,0,0,0,Winter,No Holiday,Yes
04/12/2017,248,23,-5.7999999999999998,44,2.3999999999999999,2000,-16.100000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,216,0,-6.0999999999999996,42,2.6000000000000001,2000,-16.899999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,198,1,-6.5,41,2.7999999999999998,2000,-17.600000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,124,2,-6.7999999999999998,41,2.5,2000,-17.800000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,62,3,-6.9000000000000004,39,2,2000,-18.5,0,0,0,Winter,No Holiday,Yes
05/12/2017,42,4,-7.2000000000000002,34,3,2000,-20.399999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,82,5,-7.4000000000000004,33,2.6000000000000001,2000,-20.899999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,172,6,-7.4000000000000004,34,3.2000000000000002,2000,-20.600000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,381,7,-7.5,33,2.2000000000000002,2000,-21,0,0,0,Winter,No Holiday,Yes
05/12/2017,812,8,-8.0999999999999996,36,1.6000000000000001,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes
05/12/2017,462,9,-7.5999999999999996,31,1.3,1974,-21.800000000000001,0.20999999999999999,0,0,Winter,No Holiday,Yes
05/12/2017,269,10,-5.5,26,2.7999999999999998,1967,-22,0.64000000000000001,0,0,Winter,No Holiday,Yes
05/12/2017,334,11,-3.8999999999999999,25,0,1959,-21,0,0,0,Winter,No Holiday,Yes
05/12/2017,321,12,-2.2999999999999998,25,0,1962,-19.699999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,325,13,-1.6000000000000001,27,0,1955,-18.199999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,334,14,-1.1000000000000001,28,0,2000,-17.300000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,353,15,-0.69999999999999996,28,0,2000,-16.899999999999999,0,0,0,Winter,No Holiday,Yes
05/12/2017,435,16,-0.5,30,0,2000,-16,0,0,0,Winter,No Holiday,Yes
05/12/2017,529,17,-1.6000000000000001,35,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes
05/12/2017,789,18,-2.6000000000000001,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes
05/12/2017,597,19,-3.2000000000000002,45,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes
05/12/2017,418,20,-3.5,46,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes
05/12/2017,415,21,-3.7000000000000002,47,0,2000,-13.300000000000001,0,0,0,Winter,No Holiday,Yes
05/12/2017,393,22,-2.7999999999999998,49,0,2000,-12,0,0,0,Winter,No Holiday,Yes
05/12/2017,244,23,-2.5,59,0,1210,-9.4000000000000004,0,0,0,Winter,No Holiday,Yes
06/12/2017,145,0,-2.7999999999999998,77,0,331,-6.2000000000000002,0,0.10000000000000001,0.10000000000000001,Winter,No Holiday,Yes
06/12/2017,144,1,-3,79,0,293,-6.0999999999999996,0,0,0.29999999999999999,Winter,No Holiday,Yes
06/12/2017,117,2,-3,79,0,1862,-6.0999999999999996,0,0,0.40000000000000002,Winter,No Holiday,Yes
06/12/2017,78,3,-3.2000000000000002,78,0,1808,-6.4000000000000004,0,0.20000000000000001,0.40000000000000002,Winter,No Holiday,Yes
06/12/2017,58,4,-3.3999999999999999,75,0,1982,-7.2000000000000002,0,0,0.40000000000000002,Winter,No Holiday,Yes
06/12/2017,87,5,-3.6000000000000001,76,0,1934,-7.2000000000000002,0,0,0.40000000000000002,Winter,No Holiday,Yes
06/12/2017,142,6,-3.7000000000000002,76,0,1864,-7.2999999999999998,0,0,0.40000000000000002,Winter,No Holiday,Yes
06/12/2017,379,7,-4.2000000000000002,77,0,1741,-7.5999999999999996,0,0,0.29999999999999999,Winter,No Holiday,Yes
06/12/2017,802,8,-4.2000000000000002,78,0,1518,-7.4000000000000004,0.01,0,0.20000000000000001,Winter,No Holiday,Yes
06/12/2017,440,9,-3.2999999999999998,70,0,1324,-7.9000000000000004,0.25,0,0.20000000000000001,Winter,No Holiday,Yes
06/12/2017,307,10,-0.90000000000000002,64,0,1224,-6.7999999999999998,0.63,0,0.20000000000000001,Winter,No Holiday,Yes
06/12/2017,381,11,1.6000000000000001,57,1.2,1261,-6,0.93000000000000005,0,0,Winter,No Holiday,Yes
06/12/2017,405,12,2.3999999999999999,52,0.90000000000000002,1224,-6.4000000000000004,1.0800000000000001,0,0,Winter,No Holiday,Yes
06/12/2017,442,13,4.2000000000000002,47,1.1000000000000001,1469,-6.0999999999999996,1.1000000000000001,0,0,Winter,No Holiday,Yes
06/12/2017,416,14,5.5,34,1,1966,-9.0999999999999996,0.95999999999999996,0,0,Winter,No Holiday,Yes
06/12/2017,412,15,5.5,31,3.1000000000000001,1968,-10.300000000000001,0.71999999999999997,0,0,Winter,No Holiday,Yes
06/12/2017,496,16,5.2999999999999998,37,2.8999999999999999,2000,-8.1999999999999993,0.35999999999999999,0,0,Winter,No Holiday,Yes
06/12/2017,239,17,4.0999999999999996,60,2.5,1565,-2.8999999999999999,0.10000000000000001,0,0,Winter,No Holiday,Yes
06/12/2017,204,18,1.7,90,1,66,0.20000000000000001,0,0.29999999999999999,0.29999999999999999,Winter,No Holiday,Yes
06/12/2017,205,19,1.2,92,0.69999999999999996,180,0,0,0,1,Winter,No Holiday,Yes
06/12/2017,190,20,1.2,94,0.59999999999999998,228,0.29999999999999999,0,0,1,Winter,No Holiday,Yes
06/12/2017,165,21,1.1000000000000001,92,0.5,235,0,0,0.69999999999999996,1,Winter,No Holiday,Yes
06/12/2017,222,22,1.3,92,0.59999999999999998,233,0.10000000000000001,0,0,1,Winter,No Holiday,Yes
06/12/2017,193,23,1.3,92,0.59999999999999998,209,0.10000000000000001,0,0,1,Winter,No Holiday,Yes
07/12/2017,198,0,1.3999999999999999,92,0.5,240,0.20000000000000001,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,218,1,1.5,92,0.40000000000000002,227,0.29999999999999999,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,149,2,1.3999999999999999,92,0.69999999999999996,168,0.20000000000000001,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,102,3,1.8999999999999999,91,1.3999999999999999,218,0.5,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,62,4,1.6000000000000001,92,0.69999999999999996,119,0.40000000000000002,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,83,5,1.5,92,1.1000000000000001,175,0.29999999999999999,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,137,6,1,93,0.5,148,0,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,367,7,0.29999999999999999,93,0.5,173,-0.69999999999999996,0,0,0.90000000000000002,Winter,No Holiday,Yes
07/12/2017,754,8,-0.20000000000000001,96,0.80000000000000004,173,-0.69999999999999996,0.01,0,0.80000000000000004,Winter,No Holiday,Yes
07/12/2017,415,9,0.10000000000000001,91,0.80000000000000004,265,-1.1000000000000001,0.14000000000000001,0,0.80000000000000004,Winter,No Holiday,Yes
07/12/2017,321,10,1.1000000000000001,83,0.69999999999999996,311,-1.3999999999999999,0.40999999999999998,0,0.69999999999999996,Winter,No Holiday,Yes
07/12/2017,333,11,2.2999999999999998,69,1.7,628,-2.7999999999999998,0.63,0,0.59999999999999998,Winter,No Holiday,Yes
07/12/2017,431,12,3.7000000000000002,65,2.3999999999999999,833,-2.2000000000000002,0.97999999999999998,0,0.29999999999999999,Winter,No Holiday,Yes
07/12/2017,394,13,4.0999999999999996,37,3.1000000000000001,1767,-9.3000000000000007,1.1399999999999999,0,0,Winter,No Holiday,Yes
07/12/2017,390,14,4.4000000000000004,36,2.7000000000000002,1975,-9.4000000000000004,1.04,0,0,Winter,No Holiday,Yes
07/12/2017,430,15,4,35,3.1000000000000001,1962,-10.1,0.83999999999999997,0,0,Winter,No Holiday,Yes
07/12/2017,471,16,3.2000000000000002,38,2.8999999999999999,1817,-9.6999999999999993,0.51000000000000001,0,0,Winter,No Holiday,Yes
07/12/2017,552,17,2.1000000000000001,50,2,1434,-7.2000000000000002,0.14999999999999999,0,0,Winter,No Holiday,Yes
07/12/2017,795,18,0.69999999999999996,46,2.7000000000000002,1558,-9.5999999999999996,0,0,0,Winter,No Holiday,Yes
07/12/2017,507,19,-0.40000000000000002,47,2.5,1269,-10.300000000000001,0,0,0,Winter,No Holiday,Yes
07/12/2017,390,20,-1.3999999999999999,47,2.5,1620,-11.199999999999999,0,0,0,Winter,No Holiday,Yes
07/12/2017,402,21,-2.2000000000000002,46,2.2000000000000002,1975,-12.199999999999999,0,0,0,Winter,No Holiday,Yes
07/12/2017,389,22,-2.7000000000000002,48,2.6000000000000001,1844,-12.199999999999999,0,0,0,Winter,No Holiday,Yes
07/12/2017,259,23,-3.2000000000000002,50,2.1000000000000001,1887,-12.1,0,0,0,Winter,No Holiday,Yes
08/12/2017,233,0,-3.5,49,2.6000000000000001,1893,-12.6,0,0,0,Winter,No Holiday,Yes
08/12/2017,230,1,-3.7000000000000002,50,2.5,1902,-12.6,0,0,0,Winter,No Holiday,Yes
08/12/2017,131,2,-4.2999999999999998,53,1,1918,-12.4,0,0,0,Winter,No Holiday,Yes
08/12/2017,99,3,-4.7999999999999998,52,1.6000000000000001,1978,-13.1,0,0,0,Winter,No Holiday,Yes
08/12/2017,71,4,-5.2999999999999998,53,2.3999999999999999,1936,-13.4,0,0,0,Winter,No Holiday,Yes
08/12/2017,84,5,-5.7999999999999998,56,2,1941,-13.1,0,0,0,Winter,No Holiday,Yes
08/12/2017,158,6,-6,56,3.5,1853,-13.300000000000001,0,0,0,Winter,No Holiday,Yes
08/12/2017,387,7,-6.5,57,0.80000000000000004,1776,-13.6,0,0,0,Winter,No Holiday,Yes
08/12/2017,780,8,-7,59,0.80000000000000004,1559,-13.6,0.01,0,0,Winter,No Holiday,Yes
08/12/2017,395,9,-6.7000000000000002,50,0.90000000000000002,1492,-15.4,0.23000000000000001,0,0,Winter,No Holiday,Yes
08/12/2017,261,10,-5.2999999999999998,44,2.7999999999999998,1516,-15.6,0.63,0,0,Winter,No Holiday,Yes
08/12/2017,310,11,-3.7000000000000002,39,1.3999999999999999,1595,-15.6,0.93000000000000005,0,0,Winter,No Holiday,Yes
08/12/2017,355,12,-2,30,1.3999999999999999,1728,-17.300000000000001,1.1399999999999999,0,0,Winter,No Holiday,Yes
08/12/2017,354,13,-1.7,28,1.8,1963,-17.800000000000001,1.22,0,0,Winter,No Holiday,Yes
08/12/2017,350,14,-1.3,27,3.1000000000000001,1906,-17.899999999999999,1.1200000000000001,0,0,Winter,No Holiday,Yes
08/12/2017,362,15,-0.80000000000000004,26,3.2999999999999998,1977,-17.899999999999999,0.87,0,0,Winter,No Holiday,Yes
08/12/2017,401,16,-1.1000000000000001,24,3.3999999999999999,2000,-19.100000000000001,0.56000000000000005,0,0,Winter,No Holiday,Yes
08/12/2017,500,17,-2.3999999999999999,30,2.7000000000000002,2000,-17.600000000000001,0.17999999999999999,0,0,Winter,No Holiday,Yes
08/12/2017,752,18,-3.1000000000000001,33,1.2,2000,-17.100000000000001,0,0,0,Winter,No Holiday,Yes
08/12/2017,477,19,-3.2999999999999998,35,1.1000000000000001,2000,-16.600000000000001,0,0,0,Winter,No Holiday,Yes
08/12/2017,384,20,-3.2999999999999998,34,1.5,2000,-16.899999999999999,0,0,0,Winter,No Holiday,Yes
08/12/2017,336,21,-3.2999999999999998,35,0.5,2000,-16.600000000000001,0,0,0,Winter,No Holiday,Yes
08/12/2017,347,22,-3.3999999999999999,39,1.2,2000,-15.4,0,0,0,Winter,No Holiday,Yes
08/12/2017,275,23,-3.5,43,0.90000000000000002,2000,-14.300000000000001,0,0,0,Winter,No Holiday,Yes
09/12/2017,267,0,-3.5,48,0.90000000000000002,1967,-12.9,0,0,0,Winter,No Holiday,Yes
09/12/2017,296,1,-4.0999999999999996,49,0.59999999999999998,2000,-13.199999999999999,0,0,0,Winter,No Holiday,Yes
09/12/2017,237,2,-4.7000000000000002,50,0.69999999999999996,1983,-13.5,0,0,0,Winter,No Holiday,Yes
09/12/2017,169,3,-4.2999999999999998,47,0.59999999999999998,1992,-13.9,0,0,0,Winter,No Holiday,Yes
09/12/2017,96,4,-4.2999999999999998,49,0.69999999999999996,2000,-13.4,0,0,0,Winter,No Holiday,Yes
09/12/2017,56,5,-4.7000000000000002,49,0.80000000000000004,1999,-13.800000000000001,0,0,0,Winter,No Holiday,Yes
09/12/2017,76,6,-5.0999999999999996,53,0.90000000000000002,1975,-13.199999999999999,0,0,0,Winter,No Holiday,Yes
09/12/2017,127,7,-5.5,56,0.80000000000000004,1950,-12.9,0,0,0,Winter,No Holiday,Yes
09/12/2017,222,8,-5.4000000000000004,56,0.69999999999999996,1940,-12.800000000000001,0.01,0,0,Winter,No Holiday,Yes
09/12/2017,291,9,-4.7000000000000002,48,1,1784,-14,0.23000000000000001,0,0,Winter,No Holiday,Yes
09/12/2017,273,10,-2.2000000000000002,42,1.3,1646,-13.4,0.60999999999999999,0,0,Winter,No Holiday,Yes
09/12/2017,351,11,0,45,1.1000000000000001,1500,-10.5,0.89000000000000001,0,0,Winter,No Holiday,Yes
09/12/2017,427,12,2.3999999999999999,40,0.80000000000000004,1809,-9.8000000000000007,1.05,0,0,Winter,No Holiday,Yes
09/12/2017,431,13,3.8999999999999999,36,2,1702,-9.8000000000000007,1.1299999999999999,0,0,Winter,No Holiday,Yes
09/12/2017,486,14,4.7000000000000002,32,2.2000000000000002,1948,-10.6,1.0600000000000001,0,0,Winter,No Holiday,Yes
09/12/2017,569,15,5.2000000000000002,30,2,1963,-11,0.83999999999999997,0,0,Winter,No Holiday,Yes
09/12/2017,546,16,4.4000000000000004,33,1.6000000000000001,1963,-10.5,0.40000000000000002,0,0,Winter,No Holiday,Yes
09/12/2017,481,17,3.5,37,1.8,1963,-9.8000000000000007,0.10000000000000001,0,0,Winter,No Holiday,Yes
09/12/2017,384,18,2.5,41,1,1974,-9.4000000000000004,0,0,0,Winter,No Holiday,Yes
09/12/2017,275,19,1.5,48,0.40000000000000002,1878,-8.3000000000000007,0,0,0,Winter,No Holiday,Yes
09/12/2017,298,20,0.80000000000000004,51,1.3999999999999999,1848,-8.1999999999999993,0,0,0,Winter,No Holiday,Yes
09/12/2017,321,21,-0.10000000000000001,55,0.69999999999999996,1654,-8,0,0,0,Winter,No Holiday,Yes
09/12/2017,289,22,-0.5,55,0.59999999999999998,1655,-8.4000000000000004,0,0,0,Winter,No Holiday,Yes
09/12/2017,265,23,-0.10000000000000001,54,1.3,1570,-8.3000000000000007,0,0,0,Winter,No Holiday,Yes
10/12/2017,326,0,-0.20000000000000001,55,1,1629,-8.0999999999999996,0,0,0,Winter,No Holiday,Yes
10/12/2017,280,1,-0.20000000000000001,54,0.5,1747,-8.4000000000000004,0,0,0,Winter,No Holiday,Yes
10/12/2017,243,2,0.20000000000000001,52,0.69999999999999996,1726,-8.5,0,0,0,Winter,No Holiday,Yes
10/12/2017,169,3,0.29999999999999999,53,0.5,1748,-8.0999999999999996,0,0,0,Winter,No Holiday,Yes
10/12/2017,71,4,0.40000000000000002,52,1.6000000000000001,1816,-8.3000000000000007,0,0,0,Winter,No Holiday,Yes
10/12/2017,13,5,0.29999999999999999,74,1,178,-3.7000000000000002,0,0,0.69999999999999996,Winter,No Holiday,Yes
10/12/2017,9,6,-0.5,90,0.90000000000000002,91,-1.8999999999999999,0,2.5,2.7000000000000002,Winter,No Holiday,Yes
10/12/2017,20,7,-0.40000000000000002,92,1.1000000000000001,121,-1.5,0,0,4,Winter,No Holiday,Yes
10/12/2017,35,8,-0.20000000000000001,90,1.2,378,-1.6000000000000001,0,0,4.0999999999999996,Winter,No Holiday,Yes
10/12/2017,31,9,0.20000000000000001,90,1,305,-1.2,0,1.6000000000000001,4.2999999999999998,Winter,No Holiday,Yes
